SCI,Assignment ,Short Description,Role,Work Effort,Work Type,EHR/s Impacted,Status,Phase,Projected Go-Live Date,Sponsor,Service Line,Assignment Date,Comments/Details,
Melissa,"OutPatient in a Bed (OIB)
Outpatient in a bed","System Care Coordination Driven Project to update ALL EHR's with a patient status order for ""Outpatient in a Bed (OIB)"".  Current state assessment in progress to determine which sites may have an existing order and who will need one.  Discussion also in place to remove ""Extended Recovery""",Secondary,S - 1-2 hrs/wk,System Initiative,All,In Progress,Discovery/Define,,,Other,,,
Melissa,"Discharge Milestones Project- Level Up
Level Up Discharge - Epic Project (Shared Folder)",Epic Initiated optimization project to utilize the functionality in Epic making Multi Disciplinary Rounds (MDR's) more efficient and effective. Creating patient lists and reports for real time documentation. ,Primary,XS - Less than 1 hr/wk,Project,Epic ,In Progress,Did We Deliver,,Regina Mudd,Care Coordination,,,
Melissa,"Wellsky/CarePort/Transitions
Drive",Care Coordination solution to assist with patient transfers to outside facilities. ,Primary,XS - Less than 1 hr/wk,System Initiative,All,In Progress,Discovery/Define,,,Care Coordination,,,
Melissa,"EPIC - Patient Belongings & Valuables System Policy Task Force
FETR0081404 Belongings PolicyUpdate","In order to comply with changes in CommonSpirit Policy related to documentation of Valuables and Belongings, changes are required for all EHRs
Valuables & Belongings CI Dashboard",Primary,S - 1-2 hrs/wk,Policy/ Guideline,All,In Progress,Develop,,Allison Mason,Nursing,,,
Melissa,"Danger to Others
HTO EHR Requirements ","Working with BH leadership to answer outstanding EHR-related questions prior to placing EHR change request ticket (to be followed by eventual design sessions/coordination, approval, testing, implementation)",Secondary,S - 1-2 hrs/wk,Policy/ Guideline,All,In Progress,Discovery/Define,,,Nursing,,,
Melissa,Epic/Elsevier Care Plan,"Project Folder 
May 1 – Push updates and materials into AC environment (internal to EPIC)

May 5 – Ensure all documentation is uploaded to EDS environment (internal to EPIC)

May 19 – Import content into customer environments for validation

CommonSpirit is a prioritized customer for uploading content.",Primary,M - 2-5 hrs/wk,System Initiative,Epic ,In Progress,Discovery/Define,,Allison Mason,Nursing,,,
Melissa,Violence and Human Trafficking Response EHR Support,"SDOH screening and our policy surrounding abuse screening. This effects Epic, Epic Gold, and Cerner.
Human Trafficking and Response - Education and Resources
EHR Working Group - Abuse, Neglect, and Violence
Clinical Informatics and HT Response - CERNER Action Items",Primary,M - 2-5 hrs/wk,System Initiative,All,In Progress,Discovery/Define,,Holly Gibbs,Other,,,
Melissa,ALM to SPM Project - UAT testing and Train the Trainer,last week and this week have been very heavy on testing and retesting as well as Train the Trainer sessions,Support,M - 2-5 hrs/wk,General Support,All,In Progress,Develop,,,Other,,,
Melissa,Standardizing Fetal Monitoring System:CPN Perinatal ,Faciltator for standardization of a fetal monitoring system ,Support,S - 1-2 hrs/wk,General Support,All,In Progress,Discovery/Define,,Mindy Foster,OB/NICU,,System Project,SCI Consultant 
Melissa,WICI/NICU,Council particiation for System Team,Support,M - 2-5 hrs/wk,General Support,All,In Progress,Discovery/Define,,Mindy Foster,OB/NICU,,,SCI Consultant 
